city,pop2023,latitude,longitude
Tiruvannamalai,138243,12.2266,79.0746
Tiruvottiyur,248059,13.1582,80.3018
Titagarh,127751,22.7425,88.3733
Tonk,151331,26.1664,75.7882
Tumkur,307359,13.3414,77.1022
Udaipur,422784,24.5858,73.7135
Udupi,165000,13.3347,74.7462
Ujjain,457346,23.1824,75.7764
Ulhasnagar,516584,19.2167,73.15
Unnao,161671,26.5471,80.4878
Uppal Kalan,118259,17.4058,78.5591
Vadodara,1822221,22.2994,73.2081
Varanasi,1164404,25.3167,83.0104
Vejalpur,121610,22.6902,73.563
Vellore,484690,12.9184,79.1326
Veraval,163326,20.9077,70.3679
Vidisha,140045,23.526,77.8109
Vijayawada,874587,16.5075,80.6466
Virar,150357,19.4559,72.8114
Visakhapatnam,1063178,17.6801,83.2016
Vizianagaram,179358,18.1169,83.4115
Warangal,557802,18.0,79.5833
Yamunanagar,208931,30.128,77.2837
Yavatmal,128175,20.3932,78.132
Yelahanka,116447,13.1007,77.5963
