20-24_TotalPopulation,20-24_TotalMalePopulation,20-24_TotalFemalePopulation,20-24_Graduates,20-24_MaleGraduates,20-24_FemaleGraduates,25-29_TotalPopulation,25-29_TotalMalePopulation,25-29_TotalFemalePopulation,25-29_Graduates,25-29_MaleGraduates,25-29_FemaleGraduates,30-34_TotalPopulation,30-34_TotalMalePopulation,30-34_TotalFemalePopulation,30-34_Graduates,30-34_MaleGraduates,30-34_FemaleGraduates,35-59_TotalPopulation,35-59_TotalMalePopulation,35-59_TotalFemalePopulation,35-59_Graduates,35-59_MaleGraduates,35-59_FemaleGraduates,60+_TotalPopulation,60+_TotalMalePopulation,60+_TotalFemalePopulation,60+_Graduates,60+_MaleGraduates,60+_FemaleGraduates,District,State,Year
10961,5464,5497,892,534,358,12289,5851,6438,1535,976,559,9769,5152,4617,1253,816,437,23873,14604,9269,2944,2314,630,2754,1376,1378,82,78,4,PAPUM PARE,ARUNACHAL PRADESH,2001
20182,9843,10339,2920,1488,1432,17599,8578,9021,3592,2016,1576,13517,6686,6831,2399,1554,845,37814,20780,17034,5400,3977,1423,4337,2118,2219,248,205,43,PAPUM PARE,ARUNACHAL PRADESH,2011
3058,1786,1272,52,29,23,2991,1847,1144,130,110,20,2198,1246,952,123,111,12,6029,3447,2582,130,124,6,1832,901,931,4,4,0,TAWANG,ARUNACHAL PRADESH,1991
3672,2304,1368,69,50,19,3821,2355,1466,166,120,46,3548,2329,1219,180,140,40,8578,5249,3329,366,324,42,2533,1193,1340,3,3,0,TAWANG,ARUNACHAL PRADESH,2001
5865,3769,2096,264,171,93,6297,4328,1969,472,309,163,4757,3274,1483,302,229,73,11659,7222,4437,580,503,77,2832,1308,1524,6,6,0,TAWANG,ARUNACHAL PRADESH,2011
7082,3792,3290,79,52,27,7820,4333,3487,252,182,70,5616,3057,2559,215,153,62,19042,10804,8238,359,315,44,5362,2850,2512,7,6,1,TIRAP,ARUNACHAL PRADESH,1991
6879,3416,3463,104,55,49,7755,3890,3865,222,143,79,6796,3683,3113,256,175,81,22655,12636,10019,842,674,168,5697,2870,2827,11,8,3,TIRAP,ARUNACHAL PRADESH,2001
8739,4292,4447,372,212,160,8459,4155,4304,488,290,198,7071,3640,3431,309,207,102,25892,13981,11911,868,657,211,7129,3583,3546,30,20,10,TIRAP,ARUNACHAL PRADESH,2011
2342,1299,1043,28,24,4,2932,1596,1336,117,93,24,2398,1386,1012,172,143,29,7703,4555,3148,310,281,29,2598,1431,1167,4,3,1,UPPER SIANG,ARUNACHAL PRADESH,2001
2901,1526,1375,126,70,56,2829,1484,1345,256,177,79,2799,1527,1272,239,188,51,8547,4819,3728,488,428,60,2816,1492,1324,10,9,1,UPPER SIANG,ARUNACHAL PRADESH,2011
4385,2469,1916,59,44,15,4528,2515,2013,197,140,57,3532,1858,1674,145,127,18,11361,6227,5134,200,173,27,1983,1125,858,8,8,0,UPPER SUBANSIRI,ARUNACHAL PRADESH,1991
3612,1752,1860,85,65,20,4125,2036,2089,211,160,51,3444,1774,1670,164,135,29,12475,6529,5946,434,389,45,2277,1109,1168,1,1,0,UPPER SUBANSIRI,ARUNACHAL PRADESH,2001
7919,3808,4111,468,277,191,6572,3072,3500,658,442,216,5788,2865,2923,468,375,93,18646,9546,9100,847,742,105,2851,1467,1384,16,14,2,UPPER SUBANSIRI,ARUNACHAL PRADESH,2011
