20-24_TotalPopulation,20-24_TotalMalePopulation,20-24_TotalFemalePopulation,20-24_Graduates,20-24_MaleGraduates,20-24_FemaleGraduates,25-29_TotalPopulation,25-29_TotalMalePopulation,25-29_TotalFemalePopulation,25-29_Graduates,25-29_MaleGraduates,25-29_FemaleGraduates,30-34_TotalPopulation,30-34_TotalMalePopulation,30-34_TotalFemalePopulation,30-34_Graduates,30-34_MaleGraduates,30-34_FemaleGraduates,35-59_TotalPopulation,35-59_TotalMalePopulation,35-59_TotalFemalePopulation,35-59_Graduates,35-59_MaleGraduates,35-59_FemaleGraduates,60+_TotalPopulation,60+_TotalMalePopulation,60+_TotalFemalePopulation,60+_Graduates,60+_MaleGraduates,60+_FemaleGraduates,District,State,Year
270794,146348,124446,23375,13244,10131,226913,118991,107922,20376,12651,7725,209023,105983,103040,13120,8777,4343,683534,362283,321251,29783,22829,6954,262206,133663,128543,4272,3534,738,BARA BANKI,UTTAR PRADESH,2011
195916,103166,92750,4800,3680,1120,183009,97254,85755,4430,3410,1020,168004,87904,80100,4050,3150,900,549258,301885,247373,8739,7779,960,179412,99411,80001,510,450,60,BARABANKI,UTTAR PRADESH,1991
208695,110934,97761,7534,5081,2453,196951,102519,94432,8216,6048,2168,186077,95336,90741,6546,5053,1493,561599,302492,259107,16826,14172,2654,195241,101260,93981,1515,1352,163,BARABANKI,UTTAR PRADESH,2001
238686,128466,110220,10910,6520,4390,214339,113795,100544,11530,6950,4580,185359,99166,86193,10101,6461,3640,571917,315002,256915,22140,16760,5380,168962,94846,74116,2290,1830,460,BAREILLY,UTTAR PRADESH,1991
292440,157101,135339,18232,9885,8347,263612,137565,126047,18905,11015,7890,242057,124897,117160,15170,9165,6005,708958,383970,324988,43700,29927,13773,207303,108094,99209,4966,4055,911,BAREILLY,UTTAR PRADESH,2001
397387,218544,178843,39020,21617,17403,312723,163238,149485,37180,21499,15681,279395,142355,137040,25892,15488,10404,908951,481760,427191,66512,42671,23841,278028,143761,134267,12489,9103,3386,BAREILLY,UTTAR PRADESH,2011
197391,95210,102181,5570,4250,1320,179741,87778,91963,5870,4880,990,170633,82122,88511,5750,5140,610,605955,325022,280933,13190,12140,1050,218874,120026,98848,880,840,40,BASTI,UTTAR PRADESH,1991
157977,77093,80884,9281,6406,2875,136487,66522,69965,8991,6846,2145,127895,60582,67313,6016,4720,1296,436001,226948,209053,18889,16536,2353,165258,91080,74178,1649,1525,124,BASTI,UTTAR PRADESH,2001
202836,100983,101853,26941,15193,11748,171872,83929,87943,23165,14421,8744,154207,72961,81246,14641,9872,4769,517464,261668,255796,30709,24498,6211,211485,115241,96244,4819,4318,501,BASTI,UTTAR PRADESH,2011
203455,107121,96334,9870,5830,4040,176195,90875,85320,8780,6140,2640,150806,77642,73164,7040,5290,1750,469162,250876,218286,13250,10910,2340,158297,91809,66488,780,750,30,BIJNOR,UTTAR PRADESH,1991
256471,139045,117426,17291,9978,7313,217081,112072,105009,16080,10429,5651,195593,96639,98954,11613,7857,3756,596488,315772,280716,30014,23052,6962,200187,106691,93496,2438,2092,346,BIJNOR,UTTAR PRADESH,2001
355800,192148,163652,38994,19627,19367,254806,132861,121945,33097,18883,14214,222943,110631,112312,21483,13212,8271,768457,396850,371607,48927,34520,14407,245091,126753,118338,6721,5391,1330,BIJNOR,UTTAR PRADESH,2011
204377,109409,94968,4410,2830,1580,184454,100868,83586,5048,3678,1370,159800,87014,72786,3980,2960,1020,506125,276550,229575,8270,6820,1450,159088,86826,72262,710,630,80,BUDAUN,UTTAR PRADESH,1991
235378,127776,107602,7022,4050,2972,219907,116634,103273,7621,5003,2618,204378,107347,97031,6280,4356,1924,593053,322492,270561,16716,13037,3679,191212,97922,93290,1482,1285,197,BUDAUN,UTTAR PRADESH,2001
302587,167002,135585,16536,9722,6814,244441,130016,114425,15195,9480,5715,220039,113817,106222,10443,6794,3649,722957,384859,338098,25860,18772,7088,229606,116462,113144,3982,3186,796,BUDAUN,UTTAR PRADESH,2011
230704,123164,107540,11162,7572,3590,196489,101702,94787,9750,7120,2630,164623,84880,79743,8018,6160,1858,561545,294558,266987,17800,15650,2150,199368,113088,86280,1810,1710,100,BULANDSHAHR,UTTAR PRADESH,1991
242959,134644,108315,15645,9572,6073,197448,103247,94201,15288,10410,4878,175935,87779,88156,10978,7770,3208,568183,293372,274811,32143,25912,6231,208597,104886,103711,3813,3467,346,BULANDSHAHR,UTTAR PRADESH,2001
337996,183643,154353,37403,20802,16601,256213,134535,121678,30048,17712,12336,219835,110714,109121,20872,13057,7815,747315,383301,364014,53554,39939,13615,259607,127038,132569,10099,8736,1363,BULANDSHAHR,UTTAR PRADESH,2011
36971,17280,19691,1560,1040,520,35137,17540,17597,2100,1650,450,26900,12550,14350,1870,1610,260,101929,50928,51001,3900,3520,380,31007,15827,15180,150,140,10,CHAMOLI,UTTAR PRADESH,1991
128555,64145,64410,10104,7339,2765,117230,58387,58843,9761,7481,2280,108258,52670,55588,7259,5705,1554,344565,180367,164198,19592,17206,2386,121901,64020,57881,2097,2003,94,CHANDAULI,UTTAR PRADESH,2001
164182,87445,76737,22212,12954,9258,142469,71964,70505,22043,14083,7960,129836,64041,65795,15266,10725,4541,431150,221951,209199,33472,26949,6523,163781,85786,77995,5365,4918,447,CHANDAULI,UTTAR PRADESH,2011
60581,31844,28737,2807,2253,554,55188,28611,26577,3069,2564,505,49935,24859,25076,2486,2145,341,152293,81548,70745,6150,5639,511,54982,30384,24598,482,455,27,CHITRAKOOT,UTTAR PRADESH,2001
77556,43587,33969,7942,5577,2365,69806,36441,33365,7380,5333,2047,65591,32902,32689,5342,4114,1228,204946,107894,97052,11405,9930,1475,80360,43125,37235,1498,1394,104,CHITRAKOOT,UTTAR PRADESH,2011
96854,52180,44674,15720,7570,8150,89794,48804,40990,14770,7840,6930,73662,40384,33278,12906,7816,5090,231281,130380,100901,30137,20588,9549,61433,35299,26134,3273,2583,690,DEHRADUN,UTTAR PRADESH,1991
319346,150496,168850,11780,9400,2380,291028,135066,155962,12980,11200,1780,279801,130728,149073,11360,10230,1130,921957,468978,452979,21570,20050,1520,330115,177971,152144,1710,1610,100,DEORIA,UTTAR PRADESH,1991
205197,96501,108696,14752,10237,4515,179048,82034,97014,14493,11121,3372,161708,72029,89679,10319,8294,2025,541844,264610,277234,30877,27415,3462,220760,115831,104929,3158,3011,147,DEORIA,UTTAR PRADESH,2001
253930,124295,129635,34780,18454,16326,217792,99832,117960,31254,18336,12918,194742,87256,107486,20811,13807,7004,668376,319410,348966,49152,39786,9366,282809,146468,136341,8979,8089,890,DEORIA,UTTAR PRADESH,2011
190350,102710,87640,8070,5930,2140,166585,89135,77450,6430,5090,1340,140419,73519,66900,5510,4400,1110,468403,249409,218994,11540,10180,1360,154877,86687,68190,800,760,40,ETAH,UTTAR PRADESH,1991
215407,118801,96606,11953,7908,4045,202072,106586,95486,12211,8978,3233,183821,94424,89397,9229,7057,2172,551419,294483,256936,24501,20556,3945,192303,101129,91174,2184,1992,192,ETAH,UTTAR PRADESH,2001
156459,86313,70146,20794,12918,7876,123207,64812,58395,15796,10173,5623,111075,56365,54710,10442,7142,3300,377955,197643,180312,25175,19764,5411,132104,67714,64390,4060,3514,546,ETAH,UTTAR PRADESH,2011
189593,99023,90570,9743,6270,3473,169996,90064,79932,8684,6424,2260,134053,70842,63211,7160,5560,1600,432229,235458,196771,14380,12280,2100,146152,86076,60076,840,690,150,ETAWAH,UTTAR PRADESH,1991
107159,59811,47348,8929,5579,3350,96795,50077,46718,8992,6135,2857,89704,45424,44280,6987,5213,1774,280657,149781,130876,19592,16051,3541,104218,56040,48178,1966,1778,188,ETAWAH,UTTAR PRADESH,2001
146839,81975,64864,23934,13555,10379,116463,61570,54893,20439,12209,8230,103767,53032,50735,13182,8477,4705,360130,190128,170002,32412,24517,7895,135915,71582,64333,5691,4921,770,ETAWAH,UTTAR PRADESH,2011
241488,116877,124611,11390,8640,2750,211250,105382,105868,10940,8620,2320,187526,92423,95103,9160,7650,1510,642396,342515,299881,18813,16858,1955,221132,122108,99024,1410,1370,40,FAIZABAD,UTTAR PRADESH,1991
164759,82842,81917,13064,8727,4337,145655,72135,73520,13005,9324,3681,135003,65777,69226,9180,6867,2313,449769,234282,215487,23950,19680,4270,158809,82818,75991,2277,2049,228,FAIZABAD,UTTAR PRADESH,2001
213055,108201,104854,34495,18330,16165,175578,87695,87883,30264,17653,12611,158575,77039,81536,19445,12527,6918,539548,275218,264330,41657,31235,10422,212357,108920,103437,6382,5274,1108,FAIZABAD,UTTAR PRADESH,2011
204284,110870,93414,7900,5290,2610,185577,98914,86663,8149,6299,1850,157214,84043,73171,7920,6260,1660,502840,275247,227593,14597,12660,1937,150125,84970,65155,1080,1010,70,FARRUKHABAD,UTTAR PRADESH,1991
126446,69725,56721,7955,4690,3265,113148,59937,53211,7682,5116,2566,104296,53264,51032,6250,4464,1786,322157,173976,148181,17744,14183,3561,100134,53889,46245,1670,1482,188,FARRUKHABAD,UTTAR PRADESH,2001
173248,95595,77653,20048,11031,9017,138111,73558,64553,16852,9959,6893,121666,62666,59000,11194,7016,4178,401345,211729,189616,27787,20430,7357,134937,70383,64554,4512,3816,696,FARRUKHABAD,UTTAR PRADESH,2011
150030,76811,73219,5250,3940,1310,143067,73433,69634,5519,4279,1240,123651,61730,61921,4660,4030,630,412263,218493,193770,8651,7940,711,129429,74266,55163,580,560,20,FATEHPUR,UTTAR PRADESH,1991
171750,93972,77778,9393,6529,2864,159994,81735,78259,10076,7526,2550,156344,76342,80002,8161,6419,1742,502894,265688,237206,20253,17688,2565,172905,93258,79647,1598,1480,118,FATEHPUR,UTTAR PRADESH,2001
217301,123116,94185,25309,14406,10903,181961,95341,86620,22548,13896,8652,169221,83619,85602,15017,10120,4897,605562,314230,291332,34905,27816,7089,224595,117107,107488,4891,4386,505,FATEHPUR,UTTAR PRADESH,2011
134341,71100,63241,8420,5510,2910,116153,61910,54243,6450,4870,1580,96461,50260,46201,5243,4150,1093,304353,161759,142594,10100,8890,1210,97037,56257,40780,770,700,70,FIROZABAD,UTTAR PRADESH,1991
165090,90949,74141,11306,6803,4503,149020,77902,71118,11509,7739,3770,136712,69353,67359,9223,6468,2755,403187,215690,187497,24099,19223,4876,130068,68849,61219,2299,2066,233,FIROZABAD,UTTAR PRADESH,2001
232863,128839,104024,31531,18123,13408,180520,95120,85400,24828,14984,9844,155936,79044,76892,15719,9984,5735,532284,278129,254155,38864,28565,10299,168199,86786,81413,6418,5398,1020,FIROZABAD,UTTAR PRADESH,2011
53143,25262,27881,3341,1780,1561,46396,22247,24149,3529,2480,1049,38145,18120,20025,3460,2460,1000,147920,66774,81146,6889,6029,860,57171,28250,28921,470,410,60,GARHWAL,UTTAR PRADESH,1991
107162,60005,47157,11070,6322,4748,99735,52471,47264,15942,9063,6879,87736,45891,41845,14030,8403,5627,236649,128253,108396,36602,23749,12853,77042,40197,36845,6333,4780,1553,GAUTAM BUDDHA NAGAR,UTTAR PRADESH,2001
165170,90615,74555,29369,16488,12881,148407,77966,70441,37198,20337,16861,127334,66707,60627,31726,17833,13893,364262,196965,167297,81157,49295,31862,100233,51314,48919,18764,12290,6474,GAUTAM BUDDHA NAGAR,UTTAR PRADESH,2011
233064,123910,109154,21471,12058,9413,222589,117359,105230,23620,14420,9200,182469,97450,85019,21119,14336,6783,526972,294606,232366,46265,35795,10470,167515,96255,71260,4397,3797,600,GHAZIABAD,UTTAR PRADESH,1991
288859,158241,130618,36671,18996,17675,257933,132282,125651,41585,23065,18520,234341,118681,115660,34461,21122,13339,684855,371322,313533,89378,62388,26990,183691,96043,87648,10228,8522,1706,GHAZIABAD,UTTAR PRADESH,2001
465391,246246,219145,77180,38980,38200,396108,202286,193822,91158,46200,44958,341608,173241,168367,78465,42257,36208,1075493,568875,506618,194140,120669,73471,282733,147982,134751,35386,25646,9740,GHAZIABAD,UTTAR PRADESH,2011
180316,82241,98075,7790,5940,1850,165144,78288,86856,7360,6160,1200,147733,70350,77383,6320,5440,880,503973,258142,245831,13417,12537,880,186123,102303,83820,1250,1230,20,GHAZIPUR,UTTAR PRADESH,1991
223111,104883,118228,18420,13548,4872,196460,90397,106063,17447,13777,3670,181673,82368,99305,12197,9839,2358,622037,307535,314502,31412,27764,3648,242532,127724,114808,3392,3228,164,GHAZIPUR,UTTAR PRADESH,2001
289036,150812,138224,42827,24736,18091,243668,118695,124973,41019,25855,15164,223921,106239,117682,28426,19891,8535,787369,391372,395997,59894,48699,11195,319113,166713,152400,9422,8426,996,GHAZIPUR,UTTAR PRADESH,2011
274488,137679,136809,6428,4800,1628,254805,129076,125729,6490,5140,1350,242360,121820,120540,5795,4860,935,796665,427860,368805,10593,9533,1060,260915,147230,113685,1070,1000,70,GONDA,UTTAR PRADESH,1991
214461,107841,106620,8413,5936,2477,191470,96189,95281,8691,6485,2206,176295,86681,89614,6538,4845,1693,582106,305268,276838,17405,14537,2868,198369,106299,92070,1446,1303,143,GONDA,UTTAR PRADESH,2001
286212,148915,137297,25373,15612,9761,253924,127786,126138,22005,14258,7747,223509,111053,112456,13944,9690,4254,712272,368166,344106,29418,22799,6619,263706,140291,123415,4219,3619,600,GONDA,UTTAR PRADESH,2011
230819,114095,116724,15430,9750,5680,204124,99638,104486,14950,10670,4280,189628,91356,98272,12107,9547,2560,648355,339457,308898,27067,23411,3656,223234,124142,99092,2220,2070,150,GORAKHPUR,UTTAR PRADESH,1991
294291,145237,149054,28137,17461,10676,253841,120625,133216,28235,18807,9428,229778,106876,122902,20269,14224,6045,787825,398096,389729,58461,47243,11218,287443,153731,133712,6753,6163,590,GORAKHPUR,UTTAR PRADESH,2001
390991,201681,189310,57120,30771,26349,336512,165183,171329,54403,31377,23026,294608,141488,153120,37564,23338,14226,984097,495344,488753,89991,65748,24243,373086,199061,174025,16778,14346,2432,GORAKHPUR,UTTAR PRADESH,2011
126185,66010,60175,5340,4120,1220,115258,60440,54818,5170,4310,860,95872,50102,45770,4221,3511,710,312691,167773,144918,6896,6356,540,109409,61402,48007,630,610,20,HAMIRPUR,UTTAR PRADESH,1991
80171,44731,35440,4908,3591,1317,77277,40792,36485,5175,4059,1116,72109,36659,35450,4214,3495,719,226155,120992,105163,10721,9484,1237,84047,45207,38840,650,604,46,HAMIRPUR,UTTAR PRADESH,2001
93214,54530,38684,11580,7273,4307,79547,43271,36276,10347,6934,3413,73314,37519,35795,7015,5043,1972,262922,138977,123945,17674,14589,3085,105241,55711,49530,2205,1982,223,HAMIRPUR,UTTAR PRADESH,2011
231004,122774,108230,6250,4690,1560,215250,116660,98590,6580,5460,1120,188221,99668,88553,5440,4590,850,589513,323098,266415,10810,9560,1250,181896,100178,81718,680,600,80,HARDOI,UTTAR PRADESH,1991
269871,148026,121845,9505,6418,3087,251782,134781,117001,10622,7918,2704,236437,121502,114935,8731,6784,1947,701176,380682,320494,23070,19596,3474,233225,121346,111879,1689,1508,181,HARDOI,UTTAR PRADESH,2001
337130,189818,147312,28259,17001,11258,291799,156252,135547,25315,16139,9176,266253,136816,129437,16600,11208,5392,874538,466889,407649,40985,31994,8991,324503,166449,158054,6162,5245,917,HARDOI,UTTAR PRADESH,2011
97571,52463,45108,7870,3980,3890,84259,44925,39334,6880,3910,2970,71692,37190,34502,5345,3240,2105,231428,127259,104169,14963,10903,4060,73953,42909,31044,1280,1140,140,HARDWAR,UTTAR PRADESH,1991
107320,60237,47083,7435,4721,2714,95587,50885,44702,7748,5527,2221,85238,43501,41737,5667,4153,1514,263388,139877,123511,15942,12993,2949,96674,49625,47049,1750,1606,144,HATHRAS,UTTAR PRADESH,2001
110525,57991,52534,7608,5818,1790,99131,51161,47970,5880,4730,1150,80329,42012,38317,4320,3540,780,255759,137464,118295,7860,6980,880,86368,48740,37628,450,420,30,JALAUN,UTTAR PRADESH,1991
117491,65039,52452,7753,5324,2429,113078,58892,54186,9087,6881,2206,104142,53257,50885,9511,7740,1771,320393,172290,148103,23194,20014,3180,121465,65800,55665,1756,1605,151,JALAUN,UTTAR PRADESH,2001
151585,85145,66440,22835,13990,8845,131867,70593,61274,19358,12600,6758,115546,59202,56344,12123,8232,3891,411824,218101,193723,38916,31607,7309,157674,83116,74558,5601,4968,633,JALAUN,UTTAR PRADESH,2011
243341,109894,133447,11150,9340,1810,212511,95015,117496,10549,9020,1529,188467,83662,104805,9138,8318,820,648236,319017,329219,19252,17806,1446,239086,128393,110693,1480,1380,100,JAUNPUR,UTTAR PRADESH,1991
301725,135700,166025,23433,17906,5527,240748,105758,134990,21134,16956,4178,216683,93296,123387,13701,11325,2376,746146,356143,390003,38650,34426,4224,309764,159862,149902,4416,4153,263,JAUNPUR,UTTAR PRADESH,2001
372524,179487,193037,59673,34955,24718,306098,139897,166201,53357,33931,19426,271404,120650,150754,34460,24231,10229,939648,444215,495433,70798,58364,12434,405953,204761,201192,12576,11335,1241,JAUNPUR,UTTAR PRADESH,2011
132500,68061,64439,9910,5960,3950,118101,62183,55918,10240,7170,3070,99482,51956,47526,8770,6370,2400,296856,160637,136219,16210,13200,3010,95618,51518,44100,1220,1090,130,JHANSI,UTTAR PRADESH,1991
158167,84762,73405,14065,8016,6049,143681,75143,68538,14967,9352,5615,131840,67681,64159,13551,9241,4310,385744,208710,177034,34352,25734,8618,124799,62727,62072,3141,2588,553,JHANSI,UTTAR PRADESH,2001
193696,103562,90134,29230,16093,13137,171954,90997,80957,27587,15654,11933,151261,77341,73920,18840,11278,7562,498088,262671,235417,56102,38902,17200,169710,85739,83971,8287,6531,1756,JHANSI,UTTAR PRADESH,2011
117950,63102,54848,5834,3864,1970,105394,54258,51136,5680,3922,1758,97227,48774,48453,4241,3099,1142,283296,150444,132852,11265,8911,2354,93699,50090,43609,811,707,104,JYOTIBA PHULE NAGAR,UTTAR PRADESH,2001
170851,90956,79895,21596,12430,9166,132380,68759,63621,16253,10355,5898,116865,58373,58492,9604,6464,3140,371603,193203,178400,19491,14533,4958,118656,61476,57180,2736,2244,492,JYOTIBA PHULE NAGAR,UTTAR PRADESH,2011
108510,60810,47700,5956,3843,2113,98917,51704,47213,5880,4254,1626,91229,46357,44872,4743,3700,1043,275458,146937,128521,12428,10554,1874,92797,48827,43970,955,876,79,KANNAUJ,UTTAR PRADESH,2001
148929,84082,64847,18968,11025,7943,118278,63061,55217,15610,9547,6063,105975,54278,51697,9551,6339,3212,349414,184777,164637,22061,17276,4785,129174,66045,63129,3498,3043,455,KANNAUJ,UTTAR PRADESH,2011
177589,97924,79665,8320,6330,1990,162079,86335,75744,6970,5640,1330,133970,70400,63570,4840,4090,750,443079,240298,202781,9970,9160,810,153231,89560,63671,740,680,60,KANPUR DEHAT,UTTAR PRADESH,1991
122954,70224,52730,6813,4700,2113,111204,58771,52433,7152,5276,1876,104848,53498,51350,6108,4816,1292,313571,168580,144991,14252,12619,1633,124639,68036,56603,1205,1123,82,KANPUR DEHAT,UTTAR PRADESH,2001
159770,92160,67610,22573,12992,9581,132647,71048,61599,19515,11874,7641,119479,61469,58010,12101,8120,3981,409084,217825,191259,27468,21802,5666,163627,86249,77378,4194,3759,435,KANPUR DEHAT,UTTAR PRADESH,2011
225090,124929,100161,40384,23244,17140,202271,105958,96313,35490,21490,14000,174400,93539,80861,28693,19153,9540,545148,312524,232624,66690,51280,15410,119143,69352,49791,6820,6060,760,KANPUR NAGAR,UTTAR PRADESH,1991
391751,219975,171776,61661,31528,30133,323947,171277,152670,65329,35276,30053,292196,150844,141352,51417,30287,21130,954365,521178,433187,145016,98139,46877,275437,148700,126737,18919,15524,3395,KANPUR NAGAR,UTTAR PRADESH,2001
464532,257096,207436,104593,50497,54096,388739,206483,182256,107556,53091,54465,339466,176809,162657,78783,41267,37516,1212860,650543,562317,220406,133763,86643,389023,209137,179886,42813,31374,11439,KANPUR NAGAR,UTTAR PRADESH,2011
122499,67386,55113,9756,5586,4170,97731,52001,45730,8888,5575,3313,87032,44534,42498,5961,4022,1939,296720,156523,140197,14324,11129,3195,100934,50638,50296,2410,2084,326,KANSHIRAM NAGAR,UTTAR PRADESH,2011
93100,49466,43634,3175,2572,603,88238,44462,43776,3165,2593,572,85118,41397,43721,2500,2186,314,265489,139218,126271,6620,6093,527,86474,47275,39199,564,534,30,KAUSHAMBI,UTTAR PRADESH,2001
123514,70064,53450,10246,6822,3424,108926,55911,53015,9619,6616,3003,101545,50459,51086,6107,4434,1673,322571,166326,156245,12556,10586,1970,122841,63772,59069,1837,1651,186,KAUSHAMBI,UTTAR PRADESH,2011
191944,100534,91410,4720,3200,1520,187592,100950,86642,5160,3930,1230,166188,87208,78980,3800,3170,630,515381,285870,229511,8980,7840,1140,159663,89850,69813,896,860,36,KHERI,UTTAR PRADESH,1991
258893,135530,123363,8876,5679,3197,242759,127131,115628,10011,7056,2955,220453,111468,108985,7741,5716,2025,640630,347216,293414,19640,15898,3742,209969,112000,97969,1733,1500,233,KHERI,UTTAR PRADESH,2001
328438,177959,150479,24275,14163,10112,295706,153480,142226,23903,15167,8736,272638,137048,135590,15700,10508,5192,845005,445262,399743,34995,26208,8787,289800,151343,138457,4677,3858,819,KHERI,UTTAR PRADESH,2011
213594,102182,111412,10234,7643,2591,196924,93278,103646,9993,8299,1694,186205,86822,99383,7418,6408,1010,598394,306874,291520,21658,20125,1533,209591,111504,98087,1767,1692,75,KUSHINAGAR,UTTAR PRADESH,2001
274817,141103,133714,23640,13370,10270,256231,124218,132013,22034,14129,7905,234653,112086,122567,15084,10798,4286,752583,379105,373478,33506,28554,4952,285914,151213,134701,5826,5294,532,KUSHINAGAR,UTTAR PRADESH,2011
63315,31585,31730,2090,1330,760,58412,31048,27364,2070,1550,520,48951,26050,22901,1866,1460,406,157958,87358,70600,3179,2738,441,48550,27060,21490,150,150,0,LALITPUR,UTTAR PRADESH,1991
84237,42863,41374,3349,1991,1358,74378,38907,35471,3569,2436,1133,65977,34186,31791,2937,2151,786,195476,105784,89692,7357,5916,1441,63932,33085,30847,402,360,42,LALITPUR,UTTAR PRADESH,2001
112480,58160,54320,7501,4333,3168,97324,51412,45912,7312,4492,2820,82949,42206,40743,5070,3263,1807,253187,133622,119565,12172,9068,3104,88610,45538,43072,1500,1250,250,LALITPUR,UTTAR PRADESH,2011
250434,134874,115560,41200,22360,18840,224454,114451,110003,40240,23150,17090,198709,102949,95760,33470,21040,12430,611844,335158,276686,81780,59238,22542,164141,89237,74904,10550,9290,1260,LUCKNOW,UTTAR PRADESH,1991
337767,185159,152608,60905,31705,29200,288857,149148,139709,67241,36699,30542,259959,131384,128575,52729,30318,22411,845398,454030,391368,164320,106696,57624,235982,121719,114263,25448,19985,5463,LUCKNOW,UTTAR PRADESH,2001
457020,244128,212892,105508,50639,54869,388923,197727,191196,119169,57997,61172,331460,167275,164185,91685,47891,43794,1156098,601357,554741,277962,165299,112663,359386,186010,173376,58558,41282,17276,LUCKNOW,UTTAR PRADESH,2011
145453,80483,64970,16866,9745,7121,113108,60188,52920,14046,8631,5415,98193,50151,48042,9810,6360,3450,335306,175910,159396,25470,19292,6178,115721,58196,57525,4605,4044,561,MAHAMAYA NAGAR,UTTAR PRADESH,2011
124294,59052,65242,2090,1750,340,126220,61174,65046,2830,2480,350,117852,59007,58845,2960,2820,140,369332,199688,169644,5138,4888,250,124964,69993,54971,330,310,20,MAHARAJGANJ,UTTAR PRADESH,1991
161390,78021,83369,5657,4329,1328,151144,73798,77346,5686,4778,908,142055,69133,72922,4149,3567,582,451235,237245,213990,12546,11711,835,157492,84405,73087,916,863,53,MAHARAJGANJ,UTTAR PRADESH,2001
58262,30923,27339,2738,1871,867,53905,28455,25450,3170,2430,740,48953,24966,23987,2550,2047,503,149445,80273,69172,6215,5381,834,55852,29691,26161,345,318,27,MAHOBA,UTTAR PRADESH,2001
71018,39445,31573,6553,3934,2619,63382,33571,29811,6272,4107,2165,58154,29454,28700,4161,2908,1253,199374,105786,93588,10934,8952,1982,81259,42840,38419,1440,1269,171,MAHOBA,UTTAR PRADESH,2011
209779,108066,101713,16836,10342,6494,197489,97409,100080,15775,10637,5138,179837,87796,92041,10114,7405,2709,579386,297095,282291,20706,17756,2950,206464,110297,96167,3183,2905,278,MAHRAJGANJ,UTTAR PRADESH,2011
112280,58908,53372,5130,3720,1410,101189,53858,47331,4568,3470,1098,82623,42763,39860,3540,2860,680,273905,146288,127617,7478,6728,750,87121,49451,37670,520,480,40,MAINPURI,UTTAR PRADESH,1991
123622,67430,56192,7255,4629,2626,115017,59579,55438,7497,5360,2137,105421,53241,52180,5823,4440,1383,324075,171650,152425,15288,13052,2236,114223,61690,52533,1336,1224,112,MAINPURI,UTTAR PRADESH,2001
168574,92796,75778,24622,14200,10422,130127,68374,61753,17792,10967,6825,115549,58221,57328,10693,6999,3694,400490,207670,192820,25200,19702,5498,151920,79577,72343,4345,3737,608,MAINPURI,UTTAR PRADESH,2011
171211,92996,78215,10190,7150,3040,147654,79840,67814,9370,7000,2370,120606,63674,56932,7860,5820,2040,382250,206301,175949,16430,13760,2670,128094,71813,56281,2710,2580,130,MATHURA,UTTAR PRADESH,1991
166968,93871,73097,12627,8043,4584,149703,79158,70545,12789,8686,4103,135672,69562,66110,9944,7116,2828,411932,222335,189597,29702,23409,6293,144800,76280,68520,3804,3348,456,MATHURA,UTTAR PRADESH,2001
229509,127354,102155,27265,16477,10788,176109,93081,83028,23228,14158,9070,152018,77783,74235,16549,10657,5892,533028,282438,250590,44551,32756,11795,178546,92362,86184,8939,7509,1430,MATHURA,UTTAR PRADESH,2011
109025,49781,59244,3650,2750,900,94908,44362,50546,4892,3812,1080,84816,39061,45755,3850,3350,500,296092,148862,147230,6702,6130,572,105130,58226,46904,480,460,20,MAU,UTTAR PRADESH,1991
138844,65340,73504,11468,7509,3959,118820,54689,64131,11157,8171,2986,110383,49642,60741,7446,5688,1758,372640,186424,186216,19535,16834,2701,141492,75846,65646,1736,1627,109,MAU,UTTAR PRADESH,2001
182717,93229,89488,29284,14699,14585,147523,71085,76438,27819,15544,12275,133595,61695,71900,18326,11353,6973,471001,233190,237811,36691,27949,8742,186007,97684,88323,5197,4562,635,MAU,UTTAR PRADESH,2011
286423,154216,132207,20780,11780,9000,251199,132701,118498,19720,12360,7360,217413,114863,102550,17980,12000,5980,679187,369769,309418,39976,31880,8096,242392,143548,98844,4696,4180,516,MEERUT,UTTAR PRADESH,1991
265069,145835,119234,33123,17720,15403,215946,113546,102400,30598,17924,12674,192134,97015,95119,22020,13200,8820,619059,329390,289669,64987,44691,20296,190510,100468,90042,8277,6896,1381,MEERUT,UTTAR PRADESH,2001
349971,186639,163332,56576,28128,28448,273709,144739,128970,54023,28466,25557,224433,114750,109683,38360,21393,16967,771744,402223,369521,99626,62519,37107,236125,121724,114401,19502,14709,4793,MEERUT,UTTAR PRADESH,2011
138825,70068,68757,5390,4220,1170,121076,62101,58975,5990,4890,1100,106269,53710,52559,4930,4060,870,332221,175970,156251,9700,8640,1060,111528,62823,48705,710,660,50,MIRZAPUR,UTTAR PRADESH,1991
171334,88253,83081,11957,8746,3211,152625,77360,75265,11768,9133,2635,141112,69929,71183,8073,6393,1680,426373,224911,201462,21653,18586,3067,149232,78166,71066,2100,1958,142,MIRZAPUR,UTTAR PRADESH,2001
217387,118268,99119,27384,17067,10317,186091,95703,90388,26386,17173,9213,167921,83678,84243,18248,12659,5589,531600,275892,255708,37160,29518,7642,199429,102853,96576,5885,5194,691,MIRZAPUR,UTTAR PRADESH,2011
328777,174746,154031,14210,8080,6130,297528,155819,141709,13770,8780,4990,258319,137381,120938,11870,8580,3290,783488,429701,353787,23486,18310,5176,249677,143693,105984,2250,1950,300,MORADABAD,UTTAR PRADESH,1991
